[2025-07-15 12:02:47] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 24.8, 'memory_percent': 86.0, 'uptime_seconds': 405915, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:02:51] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 34.4, 'memory_percent': 86.1, 'uptime_seconds': 405919, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:03:09] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 84.5, 'memory_percent': 86.5, 'uptime_seconds': 405937, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:04:59] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 29.7, 'memory_percent': 91.2, 'uptime_seconds': 406048, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:05:02] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 27.3, 'memory_percent': 91.4, 'uptime_seconds': 406051, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:06:47] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 31.2, 'memory_percent': 83.8, 'uptime_seconds': 406156, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:07:07] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 82.8, 'memory_percent': 87.2, 'uptime_seconds': 406175, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:07:20] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 94.6, 'memory_percent': 88.0, 'uptime_seconds': 406189, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:09:05] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 45.3, 'memory_percent': 79.8, 'uptime_seconds': 406293, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 12:09:16] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 64.3, 'memory_percent': 82.5, 'uptime_seconds': 406305, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
